Industry,Gender,education_level,avg_salary
"Hospitality & Events",Woman,PhD,115000
"Hospitality & Events",Woman,"Some college",44948.12
"Human Resources",Woman,"Some college",57383
"Human Services",Woman,"College degree",33280
Immigration,Woman,"College degree",43000
Insurance,Man,"College degree",97142.86
Insurance,Man,"Master's degree",138209.2
Insurance,Man,PhD,115250
Insurance,Man,"Some college",72333.33
Insurance,Woman,"College degree",73206.34
Insurance,Woman,"Master's degree",75465.45
Insurance,Woman,"Professional degree (MD, JD, etc.)",53840
Insurance,Woman,"Some college",58242.22
"Interior Landscaping ",Non-binary,"Some college",33000
"International Development",Woman,"College degree",83350
"International Development (Multilateral Donor)",Woman,"Master's degree",111360
"International Organization (Un)",Woman,"Master's degree",83000
Interpretation,Woman,"Master's degree",905000
"It Security",Woman,"College degree",43680
Journalism,Woman,"Master's degree",30000
"Labour/Professional Organization",Woman,"Master's degree",62000
Law,Man,"Master's degree",100530
Law,Man,"Professional degree (MD, JD, etc.)",117333.33
Law,Non-binary,"College degree",39000
Law,Non-binary,"Master's degree",74000
Law,Non-binary,"Professional degree (MD, JD, etc.)",89470
Law,Non-binary,"Some college",38000
Law,Unknown,"Professional degree (MD, JD, etc.)",158000
Law,Woman,"College degree",69636.38
Law,Woman,"Master's degree",76381.82
Law,Woman,PhD,59000
Law,Woman,"Professional degree (MD, JD, etc.)",164280.16
Law,Woman,"Some college",41192
"Law Enforcement & Security",Man,"College degree",75000
"Law Enforcement & Security",Man,"Some college",30410
"Law Enforcement & Security",Woman,"College degree",42730
"Law Enforcement & Security",Woman,"Some college",76500
"Learning And Development",Man,"College degree",62000
"Leisure, Sport & Tourism",Woman,"College degree",78742.86
"Leisure, Sport & Tourism",Woman,"Master's degree",122500
"Leisure, Sport & Tourism",Woman,"Professional degree (MD, JD, etc.)",215000
"Leisure, Sport & Tourism",Woman,"Some college",51000
Librarian,Non-binary,"Master's degree",45700
Librarian,Woman,"Master's degree",40700
Libraries,Unknown,"Master's degree",51300
Libraries,Woman,"Master's degree",56202.67
"Libraries/Munited Stateseums/Archives",Woman,"Master's degree",40830
Library,Non-binary,"Master's degree",80000
Library,Woman,"Master's degree",55764.33
Library,Woman,"Some college",54000
Library/Archives,Woman,"Master's degree",46700
Lobbying,Man,"Master's degree",80000
Manufacturing,Woman,"College degree",81000
"Manufacturing ",Man,"College degree",88000
"Manufacturing ",Man,"Master's degree",66250
"Manufacturing ",Woman,"College degree",68000
Manufacturing/Wholesale,Woman,"College degree",58212
"Marketing, Advertising & Pr",Man,"College degree",88833.33
"Marketing, Advertising & Pr",Man,"Master's degree",140000
"Marketing, Advertising & Pr",Man,"Some college",67000
"Marketing, Advertising & Pr",Non-binary,"College degree",74146.86
"Marketing, Advertising & Pr",Non-binary,"Professional degree (MD, JD, etc.)",32000
"Marketing, Advertising & Pr",Unknown,"College degree",69000
"Marketing, Advertising & Pr",Unknown,"Master's degree",87000
"Marketing, Advertising & Pr",Woman,"College degree",86711.02
"Marketing, Advertising & Pr",Woman,"Master's degree",92326.5
"Marketing, Advertising & Pr",Woman,PhD,107800
"Marketing, Advertising & Pr",Woman,"Some college",68166.67
"Marketing, Advertising & Pr",Woman,Unknown,68500
"Media & Digital",Man,"College degree",93727.27
"Media & Digital",Man,"Master's degree",61000
"Media & Digital",Man,"Some college",65000
"Media & Digital",Non-binary,"College degree",65000
"Media & Digital",Unknown,"College degree",135000
"Media & Digital",Unknown,"Master's degree",85000
"Media & Digital",Woman,"College degree",118365
"Media & Digital",Woman,"High School",48000
"Media & Digital",Woman,"Master's degree",70858.82
"Media & Digital",Woman,"Some college",75000
"Media & Digital",Woman,Unknown,52000
"Medical Research",Non-binary,"College degree",43000
"Medical Supply Wholesale & Warehounited Statesing",Woman,"College degree",33000
"Mental Health",Woman,"Master's degree",43000
Mortgage,Woman,"College degree",42000
"Munited Stateseums",Woman,PhD,49000
"My Company Sells & Services Variounited States Types Of Printers, Mostly Kyocera.",Woman,"Some college",35000
"Non-Profit Health Care (I Couldn’T Select Both)",Woman,"College degree",46700
Nonprofits,Man,"College degree",73490.41
Nonprofits,Man,"Master's degree",75450
Nonprofits,Man,"Some college",50875
Nonprofits,Non-binary,"College degree",46845.36
Nonprofits,Non-binary,"Master's degree",57166.67
Nonprofits,Non-binary,"Professional degree (MD, JD, etc.)",68000
Nonprofits,Unknown,"College degree",36280
Nonprofits,Unknown,"Master's degree",105000
Nonprofits,Unknown,Unknown,50000
Nonprofits,Woman,"College degree",67694.74
Nonprofits,Woman,"High School",25000
Nonprofits,Woman,"Master's degree",67423.67
Nonprofits,Woman,PhD,108766.67
Nonprofits,Woman,"Professional degree (MD, JD, etc.)",79066.67
Nonprofits,Woman,"Some college",50525
Nonprofits,Woman,Unknown,59000
"Oil & Gas",Woman,"College degree",78100
"Online Education Startup (Non-Technical Role)",Woman,"Master's degree",39800
"Organized Labor",Woman,"Professional degree (MD, JD, etc.)",103996
Pharma,Man,"Professional degree (MD, JD, etc.)",122000
Pharma,Woman,"College degree",87000
Pharma,Woman,PhD,125000
"Pharma & Biotech",Woman,"Master's degree",125760
Pharma/Biotech,Woman,PhD,175000
"Pharmaceutical ",Woman,"Master's degree",92000
"Pharmaceutical Development",Woman,PhD,230000
Pharmaceuticals,Woman,"College degree",46290
"Pharmaceuticals / Biotech",Woman,PhD,160000
Philanthropy,Woman,"College degree",100000
Philanthropy,Woman,PhD,65000
"Philanthropy ",Woman,"College degree",114000
"Philanthropy ",Woman,"Master's degree",66500
"Production And Manufacturing",Woman,"College degree",65000
"Program Management ",Woman,"Master's degree",83000
"Property Or Construction",Man,"College degree",74443.75
"Property Or Construction",Man,"Master's degree",97000
"Property Or Construction",Man,"Some college",45790
"Property Or Construction",Unknown,"College degree",70000
"Property Or Construction",Unknown,"Master's degree",126000
"Property Or Construction",Woman,"College degree",70351.03
"Property Or Construction",Woman,"High School",78000
"Property Or Construction",Woman,"Master's degree",82030
"Property Or Construction",Woman,"Some college",64183.25
Psychologist,Man,PhD,60000
"Public Health",Woman,"Master's degree",71000
"Public Health",Woman,PhD,35000
"Public Libraries",Woman,"Master's degree",47700
"Public Library",Woman,"Master's degree",44862.33
"Public Safety ",Woman,"College degree",82550
Publishing,Woman,"College degree",58125
Publishing,Woman,"Master's degree",62500
"Real Estate",Woman,"College degree",50000
"Real Estate Development",Woman,"College degree",50000
"Real Estate Investment",Woman,"College degree",73000
"Real Estate Investment Support",Woman,"High School",63000
"Real Estate Title Company",Man,"Some college",47445
"Real Estate/Development",Woman,"College degree",65000
"Recruitment Or Hr",Man,"College degree",60500
"Recruitment Or Hr",Man,"High School",38480
"Recruitment Or Hr",Man,"Master's degree",115000
"Recruitment Or Hr",Man,"Some college",42500
"Recruitment Or Hr",Non-binary,"College degree",70000
"Recruitment Or Hr",Unknown,"Master's degree",110000
"Recruitment Or Hr",Woman,"College degree",257728.02
"Recruitment Or Hr",Woman,"High School",50000
"Recruitment Or Hr",Woman,"Master's degree",74549.44
"Recruitment Or Hr",Woman,"Some college",70900
"Recruitment Or Hr",Woman,Unknown,125000
"Renewable Energy",Non-binary,"College degree",71077
"Renewable Fuels",Woman,"Master's degree",72000
Research,Man,PhD,93331.67
"Research ",Woman,"College degree",54000
"Research And Development",Woman,PhD,129000
"Restaurant ",Non-binary,"Some college",55000
Restaurant/Service,Woman,"College degree",107000
Retail,Man,"College degree",90410
Retail,Man,"High School",20000
Retail,Non-binary,"College degree",31200
Retail,Non-binary,"Some college",37500
Retail,Woman,"College degree",64528.84
Retail,Woman,"High School",146617.14
Retail,Woman,"Master's degree",138398.33
Retail,Woman,PhD,39520
Retail,Woman,"Some college",33011
Retail,Woman,Unknown,64000
"Saas Company/Software",Woman,"College degree",160000
Sales,Man,"College degree",322250
Sales,Man,"Master's degree",82000
Sales,Man,"Some college",121625
Sales,Non-binary,"College degree",37440
Sales,Woman,"College degree",70876.92
Sales,Woman,"High School",45000
Sales,Woman,"Master's degree",114413.33
Sales,Woman,"Some college",69217.14
"Sales ",Woman,"College degree",76000
"Science ",Woman,"College degree",20152
"Scientific Research",Woman,PhD,76000
"Social Work",Man,"College degree",75000
"Social Work",Man,"Master's degree",75666.67
"Social Work",Non-binary,"Master's degree",67600
"Social Work",Non-binary,"Professional degree (MD, JD, etc.)",72000
"Social Work",Woman,"College degree",57434.5
"Social Work",Woman,"Master's degree",59202.94
Software,Woman,"Some college",92700
"Stem Medical Research",Woman,"College degree",40000
"Strategy Consulting",Woman,"Master's degree",195000
"Subsidized Seniors Hounited Statesing",Woman,"College degree",45000
"Supply Chain Distribution ",Woman,"Master's degree",61800
"Tabletop Gaming",Man,"Some college",44850
Technology/Saas,Woman,"College degree",87500
"Trade Association",Woman,"Professional degree (MD, JD, etc.)",83000
"Trade Association/Membership",Woman,"College degree",65100
Translation,Non-binary,"College degree",35000
Translation,Unknown,"College degree",75000
Translation,Unknown,"Master's degree",22800
"Transport Or Logisraeltics",Woman,"College degree",92000
"Transport Or Logistics",Man,"College degree",86666.67
"Transport Or Logistics",Man,"High School",45115
"Transport Or Logistics",Man,"Master's degree",73800
"Transport Or Logistics",Woman,"College degree",77444.68
"Transport Or Logistics",Woman,"Master's degree",90615.38
"Transport Or Logistics",Woman,"Some college",52880
Unions,Man,"Professional degree (MD, JD, etc.)",80000
Unknown,Man,"College degree",55000
Unknown,Man,"Master's degree",115000
Unknown,Unknown,Unknown,50
Unknown,Woman,"College degree",37500
Unknown,Woman,"Master's degree",32400
Unknown,Woman,"Some college",58000
"Utilities & Telecommunications",Man,"College degree",94000
