"Job Title",experience_years,total_compensation
"Development Coordinator ","8 - 10 years",48000
"Development Manager","8 - 10 years",60000
"Development Officer","8 - 10 years",178000
"Development Operations Specialist","8 - 10 years",60000
"Development Project Specialist","8 - 10 years",59000
"Devlopment Manager","8 - 10 years",73000
"Devops Engineer","8 - 10 years",565000
"Devops Manager","8 - 10 years",276000
"Dialysis Clinic Manager","8 - 10 years",186000
Dietitian,"8 - 10 years",70000
"Dietitian ","8 - 10 years",50000
"Digital & Design Manager","8 - 10 years",61500
"Digital Communications & Events Manager","8 - 10 years",42500
"Digital Content Coordinator ","8 - 10 years",61040
"Digital Content Developer","8 - 10 years",172000
"Digital Content Editor ","8 - 10 years",45000
"Digital Designer","8 - 10 years",180000
"Digital Director","8 - 10 years",63000
"Digital Editor ","8 - 10 years",70000
"Digital Engagement Coordinator","8 - 10 years",54000
"Digital Marketing Analyst","8 - 10 years",174000
"Digital Marketing Manager","8 - 10 years",507000
"Digital Marketing Strategist","8 - 10 years",178000
"Digital Media And Communications Coordinator ","8 - 10 years",52000
"Digital Media And Communications Officer","8 - 10 years",40000
"Digital Pr Director","8 - 10 years",58000
"Digital Pr The Executive ","8 - 10 years",27000
"Digital Preservation Specialist","8 - 10 years",180212
"Digital Product Manager","8 - 10 years",555000
"Digital Scholarship Strategist","8 - 10 years",40768
"Digital Strategist","8 - 10 years",62000
"Dining Services Supervisor","8 - 10 years",42300
"Direct Response Copywriter","8 - 10 years",230000
Director,"8 - 10 years",2574000
"Director ","8 - 10 years",380000
"Director Communications, Marketing, And Pr","8 - 10 years",296000
"Director Of Accounting And Finance","8 - 10 years",244000
"Director Of Accounts Receivable","8 - 10 years",68000
"Director Of Advancement Communications ","8 - 10 years",74000
"Director Of Alumni Relations","8 - 10 years",353000
"Director Of Audience Engagement ","8 - 10 years",160000
"Director Of B2B Marketing","8 - 10 years",270000
"Director Of Bunited Statesiness Development","8 - 10 years",470000
"Director Of Client Success","8 - 10 years",244000
"Director Of Communications","8 - 10 years",428000
"Director Of Content","8 - 10 years",416400
"Director Of Corporate Development","8 - 10 years",295998
"Director Of Cunited Statestomer Success","8 - 10 years",877000
"Director Of Cunited Statestomer Success Management ","8 - 10 years",320000
"Director Of Cybersecurity","8 - 10 years",240000
"Director Of Data & Information Systems","8 - 10 years",276000
"Director Of Data Engineering","8 - 10 years",364000
"Director Of Data Science","8 - 10 years",320000
"Director Of Development","8 - 10 years",444000
"Director Of Digital Media","8 - 10 years",151200
"Director Of Donor Engagement","8 - 10 years",42900
"Director Of Donor Relations & Communications ","8 - 10 years",255000
"Director Of Ecommerce","8 - 10 years",178000
"Director Of Education And Public Engagement","8 - 10 years",50000
"Director Of Engineering","8 - 10 years",400000
"Director Of Events","8 - 10 years",200000
"Director Of Family Support","8 - 10 years",37500
"Director Of Finance And Operations","8 - 10 years",56000
"Director Of Guest Experience","8 - 10 years",230000
"Director Of Hr","8 - 10 years",170000
"Director Of Institutional Giving","8 - 10 years",166000
"Director Of Institutional Research","8 - 10 years",58500
"Director Of Legal And Compliance","8 - 10 years",299000
"Director Of Marketing ","8 - 10 years",178000
"Director Of Operations","8 - 10 years",1187800
"Director Of Operations ","8 - 10 years",70000
"Director Of Organizational Operations","8 - 10 years",220000
"Director Of Outreach And Compliance","8 - 10 years",55000
"Director Of Partnerships","8 - 10 years",50000
"Director Of Peo Human Resources","8 - 10 years",78500
"Director Of People Operations","8 - 10 years",196000
"Director Of Policy","8 - 10 years",214000
"Director Of Process Improvement ","8 - 10 years",260000
"Director Of Product","8 - 10 years",250000
"Director Of Product Development","8 - 10 years",289942
"Director Of Product Management","8 - 10 years",396000
